municipio_entidad,departamento_entidad,codigo_municipio_ent,oferentes_prom,ind_prom_oferentes,perc_contr_cerrada_num,perc_contr_cerrada_val,HHI_cant,HHI_val,ID_cant,ID_val,ofertas_prom,ind_prom_ofertas,ganadoras,IC4K_cant,IC4K_val,perc_tiempo_adiciones,perc_valor_adiciones,ind_valor_adiciones,ind_riesgo_corrupcion,latitud,longitud
Malambo,Atlántico,8433,26.61904761904762,96.81209010550327,75,75,30.47052154195011,45.07376329139804,0.11904761904761905,45.07375873325335,8.19047619047619,89.63230861965039,1.1904761904761918,80.95238095238095,91.07803081012268,0,0,0,39.932437128310454,10.8478048825,-74.8238166975
Mallama,Nariño,52435,NA,NA,95.38461538461539,94.32450297223924,67.86836145810504,71.72942117145824,13.414529914529915,29.323552212626268,NA,NA,17.350427350427353,73.2905982905983,86.22463808324389,0.7692307692307693,0,0,46.05440596558408,1.1706520638333333,-77.91853789833334
Manatí,Atlántico,8436,NA,NA,95,94.09679254816879,4.25,41.348421680992885,1.7948717948717947,41.34842161977067,NA,NA,35,20,75.45044897451398,10,4.305943863527961,2.1374826636418995,34.853087411428845,10.459452196666666,-75.01295041666667
Manaure,Cesar,20443,NA,NA,100,100,34.25925925925926,57.47540531268435,4.166666666666666,57.475404189773016,NA,NA,16.666666666666668,88.88888888888889,97.49670697763129,0,0,0,45.359417615617915,10.39089864,-73.02832046
Manaure,La Guajira,44560,NA,NA,100,100,57.603988603988604,62.80998890843504,5.416666666666666,44.21498208259497,NA,NA,4.444444444444445,91.34615384615384,98.45052310755061,4.7008547008547,1.5449826645737907,0.7669337468900566,46.54667474085764,11.640102166153847,-72.6448492723077
Maní,Casanare,85139,NA,NA,91.66666666666667,99.03970721645973,58.33333333333333,66.40249066973855,0,32.80498126219939,NA,NA,0,66.66666666666666,99.19496413355905,0,0,0,43.03391029875556,4.661906178166666,-72.205067865
Manizales,Caldas,17001,25.307291666666668,96.9691866267465,75.65789473684211,76.14718216387887,52.8148695240522,62.38446199714166,10.59273191633593,48.02216352114535,4.727430555555555,94.01591068917018,8.813404286066769,87.04318947783852,93.56797369545757,4.204110432051608,2.6299312895191704,1.305505300598796,44.489808949829765,5.072044001681818,-75.55864115181818
Manta,Cundinamarca,25436,NA,NA,100,100,18.36734693877551,74.3488793090882,4.761904761904762,74.34887912686207,NA,NA,14.28571428571429,71.42857142857142,95.73758650212993,57.14285714285714,28.57142857142857,14.182937628191594,52.6206569607874,5.009058389,-73.54050247
Manzanares,Caldas,17433,NA,NA,83.5978835978836,83.06909233174686,63.89133842837546,74.98725114825655,5.733618233618233,56.22768767840132,NA,NA,10.97883597883598,87.96296296296296,92.4266037213108,0,0,0,43.313812338535804,5.2344621342,-75.116539458
Mapiripán,Meta,50325,NA,NA,83.33333333333333,84.01148559015577,53.39506172839506,62.2965153503945,1.3071895424836601,24.59303049253616,NA,NA,5.555555555555558,33.33333333333333,75.05246588803838,0,0,0,38.039858721796534,3.1117457996,-72.115812845
Margarita,Bolívar,13440,NA,NA,100,100,15.625,44.25808477758781,3.571428571428571,44.25808463365412,NA,NA,12.5,62.5,89.42869990797261,0,0,0,38.89847393245355,9.086426136538462,-74.23962257076923
María la Baja,Bolívar,13442,NA,NA,88.88888888888889,98.0023361344436,13.580246913580247,27.716619560527235,2.7777777777777777,27.71661948745138,NA,NA,11.111111111111116,55.55555555555556,92.85426738811718,11.11111111111111,0,0,36.50890131282843,9.95435124690625,-75.331566985
Marinilla,Antioquia,5440,NA,NA,92.43421052631578,96.69159049463043,32.35803324099723,40.601375543957055,0.46230440967283076,40.60137314521006,NA,NA,6.578947368421054,81.57894736842105,91.12360542923503,7.236842105263158,2.0698284008663332,1.0274686488691365,41.105741230604465,6.172269255,-75.33947788
Maripí,Boyacá,15442,23,97.24550898203593,94.28571428571429,93.73566803019176,68.6734693877551,76.05308664517746,2.380952380952381,40.13271598688323,1,98.73417721518987,2.857142857142858,85.71428571428571,91.55052168340058,0,0,0,48.467937128190194,5.5907179895,-74.0430029725
Mariquita,Tolima,73443,NA,NA,97.6923076923077,94.61232010279929,68.86094674556213,75.00069884495458,9.87179487179487,37.501746284703984,NA,NA,11.153846153846153,69.23076923076923,90.91801933786971,8.076923076923077,3.013695862960569,1.4960071159148078,47.08317990649471,5.2416426915,-74.96465043125
Marmato,Caldas,17442,NA,NA,97.05882352941177,97.98750940281766,31.32929642445213,38.70005027371262,0.7352941176470588,38.70004318205194,NA,NA,4.411764705882354,85.29411764705883,91.94437536301342,1.4705882352941175,0.4753079442857029,0.23594420247958314,40.87664289509593,5.483508746,-75.60292124692307
Marquetalia,Caldas,17444,NA,NA,95,96.8685447696613,72.98611111111111,78.8713548648515,45.55555555555556,64.78559089480649,NA,NA,20.416666666666668,81.25,93.22935014902367,16.666666666666664,8.32684424607885,4.133468940363084,53.20823642619516,5.302800989,-75.029178845
Marsella,Risaralda,66440,NA,NA,100,100,57.687684911242606,58.39201450378304,37.33211233211233,44.52268462212254,NA,NA,20.673076923076923,71.15384615384616,76.63942954105306,0,0,0,46.64516521439648,4.943063960571429,-75.76106194714286
Marulanda,Caldas,17446,NA,NA,0,0,100,100,NA,NA,NA,NA,0,NA,NA,100,15.461627631610767,7.675195511531074,40.39210289289273,5.2239053989999995,-75.23060143000001
Matanza,Santander,68444,NA,NA,93.75,94.07259402275491,10.15625,21.37408623238342,4.166666666666666,21.374085941103594,NA,NA,25,50,76.20331027693426,0,0,0,34.065718836249026,7.347423785,-73.055094205
Medellín,Antioquia,5001,36.9812925170068,95.57110269257404,79.39245395127747,79.90199083213027,62.62589995195434,68.6671278448883,12.936034482735327,49.867403043512006,8.231292517006803,89.58064238353569,9.18463166005328,88.81577165591429,95.0176148605108,5.498686342391267,3.04440446279064,1.5112509513761727,45.79466058995204,6.2316158553448275,-75.56855862724139
Medina,Cundinamarca,25438,NA,NA,100,100,23.081436471193417,31.441089432975026,1.7995818399044206,31.441086062039325,NA,NA,10.995370370370372,63.31018518518518,79.73371336098867,15.856481481481481,7.407407407407407,3.677057903605228,39.75475667755556,4.448701699714285,-73.38620113
Medio Atrato,Chocó,27425,NA,NA,100,100,12.5,26.583602976980742,0,26.583602874842306,NA,NA,0,50,91.6160841855722,0,0,0,34.60906246932299,6.0227500864375,-76.755116013125
Medio San Juan,Chocó,27450,NA,NA,100,100,33.33333333333333,34.655647025651845,0,34.65564636350103,NA,NA,0,100,100,0,0,0,42.54445275990774,4.785538491375,-76.82271716437499
Melgar,Tolima,73449,NA,NA,95,98.28342131730751,55.70987654320987,65.27403338795129,28.055555555555557,56.592540847722226,NA,NA,20.694444444444443,80.72916666666666,93.03357342418988,20,6.25,3.1025176061669115,51.20626634692816,4.204372280818181,-74.6288297390909
Mercaderes,Cauca,19450,NA,NA,85.71428571428571,98.84255314026618,14.285714285714285,33.08138046909589,0,33.081379823639665,NA,NA,0,57.14285714285714,89.28467912862693,28.57142857142857,8.139386105468335,4.040414191296934,38.100245340821814,1.7778488285,-77.19224699166666
