nombre_entidad,municipio_entidad,codigo_municipio_ent,codigo_departamento_ent,orden_entidad,departamento_entidad,latitud,longitud,oferentes_prom,ind_prom_oferentes,perc_contr_cerrada_num,perc_contr_cerrada_val,HHI_cant,HHI_val,ID_cant,ID_val,ofertas_prom,ind_prom_ofertas,ganadoras,IC4K_cant,IC4K_val,perc_tiempo_adiciones,perc_valor_adiciones,ind_valor_adiciones,ind_riesgo_corrupcion
SANTANDER  ESE HOSP. REGIONAL MANUELA BELTRÁN,Socorro,68755,68,TDM4,Santander,6.482094577,-73.24961145,NA,NA,100,100,16.666666666666664,65.25360126444004,0,65.25360122926178,NA,NA,0,66.66666666666666,97.57575604975082,0,0,0,40.56024460432038
VALLE DEL CAUCA  HOSP. MARIO CORREA RENGIFO DE CALI,Cali,76001,76,TDM1,Valle del Cauca,3.406996142924528,-76.56139954018867,NA,NA,100,100,8.333333333333332,13.013526855553918,4.3478260869565215,13.013526791403784,NA,NA,33.333333333333336,45.83333333333333,66.15784906081828,0,0,0,33.72901836393898
CUNDINAMARCA  ALC. GRANADA,Granada,25312,25,TDM6,Cundinamarca,4.512080953333333,-74.35853145666667,NA,NA,90.9090909090909,96.7313723450344,15.702479338842975,53.328457138241575,7.2727272727272725,53.32845689413119,NA,NA,27.27272727272727,63.63636363636363,91.16064081274403,0,0,0,40.54671442961564
SANTANDER  ALC. LA PAZ,La Paz,68397,68,TDM5,Santander,6.1891331245,-73.6164187075,NA,NA,77.77777777777779,64.90152722721295,11.11111111111111,17.41503235760434,0,17.41503141018744,NA,NA,0,44.44444444444444,74.06262363258901,0,1.6416535018430753,0.8149214228309929,26.560826497764882
CALDAS  ESE HOSP. SAN VICENTE DE PAÚL  ANSERMA,Anserma,17042,17,TDD,Caldas,5.231950980666666,-75.78653590666666,NA,NA,100,100,100,100,NA,NA,NA,NA,0,NA,NA,100,0,0,62.5
CÓRDOBA  ESE CAMU EL AMPARO  MONTERIA,Montería,23001,23,TDD,Córdoba,8.616615112442624,-75.9446825595082,NA,NA,100,100,4.40771349862259,8.861312524280493,2.937062937062937,8.861312481349879,NA,NA,50,30.303030303030305,49.45245465226263,9.090909090909092,1.5151515151515151,0.7521254802828876,32.483614545600226
ARAUCA  ALC. CRAVO NORTE,Cravo Norte,81220,81,TDM6,Arauca,6.303912752,-70.20428555,NA,NA,92,76.3545703659804,9.44,14.149445560071154,5.666666666666666,14.14944508798435,NA,NA,43.99999999999999,52,60.60186141771122,0,0,0,32.2011403645845
NARIÑO  ALC. BARBACOAS,Barbacoas,52079,52,TDM6,Nariño,1.605859074,-78.08697723857142,NA,NA,85.0574712643678,90.06795511911547,3.1311930241775663,10.220025643027327,2.0048115477145148,10.22002559502603,NA,NA,43.67816091954023,22.988505747126435,58.64698267870452,10.344827586206897,6.230231034687747,3.092704236096997,30.496624436433226
NARIÑO  ALC. MAGUI PAYÁN,Magüí,52427,52,TDM2,Nariño,1.8461593245714285,-78.17362984571429,NA,NA,100,100,12.5,59.56641027723446,0,59.56641022797717,NA,NA,0,50,93.72442637353855,0,0,0,37.799166968252095
TOLIMA  I.E.T. SUMAPAZ,Melgar,73449,73,TDC,Tolima,4.204372280818181,-74.6288297390909,NA,NA,100,100,50,55.06828650568416,0,55.06828480294064,NA,NA,0,100,100,0,0,0,45.91529877324402
SANTANDER  ALC. BARICHARA,Barichara,68079,68,TDM6,Santander,6.656303256999999,-73.23154926000001,NA,NA,92.10526315789474,89.4721144761072,10.664819944598337,19.177933288251882,8.250355618776672,19.177933014991204,NA,NA,63.1578947368421,55.263157894736835,70.76809986108522,0,0,0,37.16905808893573
ANTIOQUIA  ALC. ENTRERRIOS,Entrerrios,5264,5,TDM6,Antioquia,6.566481448,-75.5178008,NA,NA,91.66666666666666,93.02207135269532,29.166666666666664,48.94659385126121,22.727272727272727,48.94659367998859,NA,NA,41.666666666666664,75,94.94771127748037,0,0,0,45.19487720079178
ALCALDIA DISTRITO DE RIOHACHA - ALCALDIA DISTRITO DE RIOHACHA,Riohacha,44001,44,Territorial,La Guajira,11.227513481875,-72.9809033978125,5.368421052631579,99.35707532303813,84.21052631578947,72.99446261276475,5.263157894736842,34.208176277927606,0,34.20817615656196,1.8421052631578947,97.66822118587608,0,21.052631578947366,82.34629751821686,NA,0,0,41.42504572560809
CUNDINAMARCA  ALC. TIBIRITA,Tibirita,25807,25,TDM6,Cundinamarca,5.052277838,-73.50451403,NA,NA,93.33333333333333,91.72648878086198,12,26.68171686282662,5.714285714285714,26.68171643393728,NA,NA,33.333333333333336,60,85.8345449263183,13.333333333333334,1.5555555555555556,0.772182159757098,38.571343090873206
NARIÑO  ESE CENTRO DE SALUD ILES,Iles,52352,52,TDD,Nariño,1.0028291411999999,-77.500971452,NA,NA,100,100,10.249307479224376,14.489739115570336,5.263157894736842,14.489738617184903,NA,NA,36.8421052631579,52.63157894736842,69.18275103944752,0,0,0,35.332603612682306
NORTE DE SANTANDER  ALC.  DEL TARRA,El Tarra,54250,54,TDM2,Norte de Santander,8.593458767,-72.94451036125,NA,NA,28.57142857142857,9.462349044929935,14.285714285714285,33.68628743590336,0,33.686287292959214,NA,NA,0,57.14285714285714,91.89460880710699,0,0,0,21.367567753449116
BOYACÁ  ALC. NOBSA,Nobsa,15491,15,TDM6,Boyacá,5.770921313727273,-72.9370503790909,NA,NA,55.55555555555556,84.80923511844529,13.580246913580247,26.78228941211991,2.7777777777777777,26.782289224671118,NA,NA,11.111111111111116,55.55555555555556,89.40770237401937,0,0,0,30.8708612561968
BOYACÁ  ALC. TASCO,Tasco,15790,15,TDM6,Boyacá,5.959891575,-72.75581764,NA,NA,75,76.30171795281262,15.625,18.68867576678044,3.571428571428571,18.688674706365276,NA,NA,12.5,62.5,74.75560541435429,0,3.9254697809164587,1.9486142572431173,31.34695561304868
BOYACÁ  ALC. TOTA,Tota,15822,15,TDM6,Boyacá,5.560497374,-72.98589814,NA,NA,57.14285714285714,80.26126829210737,14.285714285714285,27.006874814636863,0,27.006873861939578,NA,NA,0,57.14285714285714,87.51718507981496,0,0,0,29.396068796180707
HUILA  ALC. NATAGA,Nátaga,41483,41,TDM6,Huila,2.6255627335,-75.77027451000001,NA,NA,100,100,7.024793388429753,13.640807013664523,2.5974025974025974,13.640806751829478,NA,NA,22.72727272727273,40.90909090909091,67.76950590080163,0,0,0,32.2426247760602
CÓRDOBA  ALC. CERETÉ,Cereté,23162,23,TDM6,Córdoba,8.896596506368422,-75.81055283263157,NA,NA,87.5,59.75670264180878,4.296875,31.154813544812598,1.2096774193548387,31.154813487753774,NA,NA,18.75,25,85.65484057253136,0,0,0,28.48390083440978
CALDAS  ALC. SALAMINA,Salamina,17653,17,TDM6,Caldas,5.38935186725,-75.465345205,NA,NA,83.33333333333334,95.5740462069576,16.666666666666664,71.93945295211118,0,71.9394528279165,NA,NA,0,66.66666666666666,98.45091617243517,0,4.634593049227195,2.3006250452233865,39.960572735692836
ANTIOQUIA  ALC. REMEDIOS,Remedios,5604,5,TDM6,Antioquia,7.011263603777778,-74.62140150111111,NA,NA,80,95.31662584912432,10.222222222222223,45.1120011023756,3.8095238095238098,45.11200093819953,NA,NA,26.66666666666667,53.333333333333336,82.63850457895508,13.333333333333334,6.597284379556423,3.2749105504742007,38.20949143868773
GUAINÍA  GOBERNACIÓN,Inírida,94001,94,TDD,Guainía,3.777095124625,-67.974967365,NA,NA,87.17948717948718,55.22512038687537,2.9585798816568043,27.018457721248307,0.4048582995951417,27.01845771013145,NA,NA,7.692307692307687,17.94871794871795,87.09352429558422,0,0,0,25.956459400497515
ANTIOQUIA  ESE HOSP. HORACIO MUÑOZ SUESCUN  SOPETRÁN,Sopetrán,5761,5,TDD,Antioquia,6.5317961325,-75.76026411166666,NA,NA,100,100,8.875739644970414,10.939909297052154,1.282051282051282,10.939908236812967,NA,NA,7.692307692307687,38.46153846153847,57.738095238095234,0,0,0,29.544512874183205
HUILA  ESE HOSP. DEL ROSARIO  CAMPOALEGRE,Campoalegre,41132,41,TDD,Huila,2.65046126,-75.34381264428572,NA,NA,100,100,5.555555555555555,17.601301399273602,2.857142857142857,17.60130109386043,NA,NA,36.111111111111114,33.33333333333333,67.24960718483663,13.88888888888889,5.414137992567769,2.6875933510653893,34.97260651579774
CESAR  ALC. CHIRIGUANÁ,Chiriguaná,20178,20,TDM6,Cesar,9.4165423109,-73.527755075,NA,NA,98.7012987012987,98.85038128998177,1.568561308821049,8.059039192538336,0.2734107997265892,8.059039148461169,NA,NA,9.090909090909093,11.688311688311689,50.19090909636561,0,0,0,25.311165560722984
CUNDINAMARCA  ALC. GACHANCIPÁ,Gachancipá,25295,25,TDM6,Cundinamarca,4.983064422,-73.88293526000001,NA,NA,89.28571428571429,86.60646050895771,4.336734693877551,9.743437442274319,0.7936507936507936,9.74343721263872,NA,NA,10.71428571428571,25,55.008216416385224,10.714285714285714,2.4630951607142855,1.2226873762848942,26.898960736948226
